title,type,language,difficulty,description,testInput,expectedOutput
Linked List Implementation,Coding,Python,medium,Create a singly linked list with insert/delete,"insert(5); insert(10); display()","5 -> 10"
Binary Tree Traversal,Coding,Python,medium,Implement DFS and BFS traversal,bfs_traverse(root),"[1, 2, 3, 4, 5]"
Graph Shortest Path,Coding,Python,hard,Find shortest path using Dijkstra,"dijkstra(graph, start)","{'dist': {...}, 'path': [...]}"
Stack Operations,Coding,Python,easy,Implement stack with push/pop/peek,"push(5); pop(); peek()","Peek: False (empty)"
Queue Operations,Coding,Python,easy,Implement queue with enqueue/dequeue,"enqueue(1); dequeue()","1"
Hash Table Collision,Coding,Python,medium,Handle hash collisions with chaining,"insert('key1', val1); get('key1')","val1"
Regular Expressions,Coding,Python,easy,Extract patterns from text,"find_emails(text)","['user@example.com']"
Sorting Algorithms,Coding,Python,medium,Compare QuickSort vs MergeSort,"quicksort([3,1,4,1,5])","[1, 1, 3, 4, 5]"
String Compression,Coding,Python,medium,Compress repeated characters,"compress('aabbbcccc')","'a2b3c4'"
Database Query,Coding,SQL,medium,Write SQL queries for data retrieval,"SELECT * FROM users WHERE age > 25;","rows with age > 25"
